rewrite_model,n_runs,avg_latency_ms,n_success,n_error,avg_in_tokens,avg_out_tokens
gpt-oss-120b,404,4135.114237124785,404.0,0.0,1272.2920792079208,724.1287128712871
,119,,6.0,113.0,,
openai/gpt-oss-120b:nscale,47,17194.461097871732,47.0,0.0,1037.6808510638298,666.0212765957447
zai-glm-4.7,16,2790.210156249941,16.0,0.0,1278.8125,88.8125
