branch_role,n,drift_rate,same_rate
paid_other,626,0.4057507987220447,0.5942492012779552
paid_brave,627,0.3492822966507177,0.6507177033492824
paid_google,626,0.2715654952076677,0.7284345047923323
specialized,626,0.1757188498402556,0.8242811501597445
neural,626,0.12300319488817892,0.8769968051118211
original_free,627,0.0,1.0
