branch_role,n,identical_pct,char_ratio_median,char_ratio_p25,char_ratio_p75,word_ratio_median,jaccard_median,jaccard_p25,jaccard_p75,containment_in_branch_median,containment_in_input_median
neural,626,0.25878594249201275,2.3995020964360587,1.0,3.401511681172698,2.5,0.25,0.16666666666666666,1.0,0.875,0.2727272727272727
original_free,627,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
paid_brave,627,0.009569377990430622,1.2413793103448276,0.888753866548829,2.3716784948011225,1.25,0.5,0.38278388278388276,0.6099033816425121,0.875,0.6
paid_google,626,0.007987220447284345,1.4,0.9518049155145929,2.526315789473684,1.3,0.4166666666666667,0.2857142857142857,0.5416666666666666,0.6794871794871795,0.5
paid_other,626,0.007987220447284345,1.3636363636363635,0.9233682983682984,2.441885964912281,1.3205128205128205,0.375,0.23529411764705882,0.5,0.6666666666666666,0.5
specialized,626,0.25878594249201275,1.4169811320754717,1.0,2.6666666666666665,1.4285714285714286,0.3,0.19444444444444445,1.0,0.7735042735042735,0.4
