branch_role,n,results_median,results_mean,assigned_median,attempted_median,skipped_median,latency_median_ms,latency_mean_ms
neural,626,25.0,27.215654952076676,4.0,4.0,0.0,19500.0,15900.638504057883
original_free,627,25.0,26.650717703349283,4.0,4.0,0.0,19500.0,15906.33250390695
paid_brave,627,7.0,7.03030303030303,1.0,1.0,0.0,19500.0,15906.386192818067
paid_google,626,2.0,5.356230031948882,1.0,1.0,0.0,19500.0,15900.628057049444
paid_other,626,0.0,5.297124600638978,3.0,3.0,0.0,19500.0,15900.633695885715
specialized,626,0.0,0.0,0.0,0.0,0.0,19500.0,15900.696308870443
