provider_count,n_finals,avg_score,median_score
1,7226,0.03072260923313815,0.027346637102734665
2,1226,0.049261109267403576,0.0426402242627303
3,342,0.0738054084666126,0.05879007286312418
4,129,0.09478959815492297,0.07533647278459703
5,41,0.12030270591210987,0.08991297864248683
6,13,0.1027410562179801,0.015873015873015872
7,2,0.06717452471746499,0.06717452471746499
8,1,0.013513513513513514,0.013513513513513514
