input_cluster,branch_cluster,count
9,9,1202
5,5,327
0,0,244
14,14,199
10,10,182
7,7,174
8,8,174
11,11,118
9,4,113
2,2,109
9,1,72
4,4,71
12,12,55
9,3,53
4,9,43
6,6,40
3,3,33
9,13,30
8,9,29
9,14,29
